date,open,high,low,close,volume
2025-05-30,108.79000091552734,110.06999969482422,108.1500015258789,109.8499984741211,2196900
2025-06-02,109.58999633789062,109.93000030517578,107.68000030517578,109.08999633789062,940200
2025-06-03,109.04000091552734,111.12999725341797,108.61000061035156,110.69000244140625,837900
2025-06-04,110.69999694824219,111.80999755859375,110.48999786376953,110.80000305175781,827600
2025-06-05,111.29000091552734,111.29000091552734,110.12000274658203,110.63999938964844,578900
2025-06-06,111.77999877929688,111.98999786376953,110.94999694824219,111.3499984741211,505900
2025-06-09,111.7699966430664,111.91000366210938,110.7300033569336,110.93000030517578,565300
2025-06-10,111.0,111.47000122070312,109.94000244140625,111.02999877929688,678200
2025-06-11,111.4800033569336,112.41000366210938,110.5999984741211,112.19999694824219,636900
2025-06-12,111.62000274658203,112.5,111.19000244140625,112.12999725341797,481000
2025-06-13,111.19999694824219,112.91999816894531,111.08000183105469,111.98999786376953,575000
2025-06-16,112.91000366210938,114.22000122070312,112.51000213623047,113.05999755859375,882600
2025-06-17,112.12999725341797,113.29000091552734,111.5,112.19000244140625,1246400
2025-06-18,112.16000366210938,112.6500015258789,110.23999786376953,110.4000015258789,1760800
2025-06-20,110.43000030517578,110.43000030517578,108.08999633789062,109.55999755859375,4759500
2025-06-23,109.83999633789062,111.55999755859375,109.5199966430664,111.54000091552734,1031100
2025-06-24,112.27999877929688,112.7300033569336,111.55999755859375,112.36000061035156,852800
2025-06-25,112.9000015258789,113.11000061035156,110.87000274658203,111.05999755859375,852000
2025-06-26,111.87000274658203,112.41000366210938,111.51000213623047,112.20999908447266,410400
2025-06-27,112.41000366210938,113.26000213623047,111.73999786376953,112.79000091552734,1045500
2025-06-30,112.62000274658203,112.94999694824219,111.0199966430664,112.86000061035156,807000
2025-07-01,112.48999786376953,114.69999694824219,112.48999786376953,113.95999908447266,660000
2025-07-02,113.72000122070312,114.66000366210938,113.05999755859375,114.45999908447266,793900
2025-07-03,115.0,116.01000213623047,114.58000183105469,115.75,441500
2025-07-07,115.19000244140625,116.2699966430664,114.91000366210938,115.43000030517578,625100
2025-07-08,115.08000183105469,116.0199966430664,114.08999633789062,114.94000244140625,853700
2025-07-09,115.47000122070312,115.95999908447266,114.41999816894531,115.62000274658203,529900
2025-07-10,115.51000213623047,116.66000366210938,115.31999969482422,115.63999938964844,573600
2025-07-11,115.1500015258789,115.3499984741211,114.37999725341797,114.44000244140625,543300
2025-07-14,114.44999694824219,115.8499984741211,114.12999725341797,114.55000305175781,864000
2025-07-15,114.80999755859375,115.08000183105469,113.05000305175781,113.05000305175781,847600
2025-07-16,113.48999786376953,114.26000213623047,111.52999877929688,113.18000030517578,886900
2025-07-17,112.9800033569336,114.38999938964844,112.94000244140625,114.0,885100
2025-07-18,114.3499984741211,114.41999816894531,112.41000366210938,113.30999755859375,3147100
2025-07-21,113.56999969482422,113.9000015258789,111.9800033569336,112.16000366210938,868100
2025-07-22,112.05000305175781,112.88999938964844,111.55000305175781,112.44000244140625,816400
2025-07-23,113.08000183105469,114.0,113.0,113.41999816894531,734200
2025-07-24,113.33999633789062,113.88999938964844,112.69000244140625,113.08000183105469,547100
2025-07-25,113.48999786376953,115.45999908447266,113.08000183105469,115.36000061035156,663800
2025-07-28,115.62999725341797,115.62999725341797,113.69000244140625,113.83999633789062,544500
2025-07-29,114.58999633789062,114.58999633789062,112.70999908447266,113.0,524900
2025-07-30,113.08999633789062,113.61000061035156,112.05999755859375,112.55999755859375,974000
2025-07-31,112.30999755859375,114.83999633789062,112.30999755859375,112.73999786376953,799500
2025-08-01,111.04000091552734,111.69999694824219,108.79000091552734,111.08000183105469,1067300
2025-08-04,112.08000183105469,112.48999786376953,111.01000213623047,111.94000244140625,1015900
2025-08-05,116.43000030517578,121.7300033569336,114.45999908447266,119.0,1696100
2025-08-06,119.0,119.30999755859375,117.44999694824219,118.83000183105469,1070300
2025-08-07,119.72000122070312,120.0,118.29000091552734,119.20999908447266,680100
2025-08-08,119.7300033569336,120.05999755859375,118.3499984741211,118.43000030517578,611600
2025-08-11,118.83000183105469,119.4800033569336,118.30999755859375,119.23999786376953,931600
2025-08-12,119.97000122070312,120.91999816894531,119.22000122070312,120.87999725341797,635600
2025-08-13,121.0999984741211,122.04000091552734,119.19999694824219,122.0199966430664,830000
2025-08-14,121.88999938964844,121.88999938964844,120.04000091552734,120.12000274658203,606200
2025-08-15,120.12000274658203,120.48999786376953,118.62999725341797,119.56999969482422,519200
2025-08-18,119.58000183105469,120.4000015258789,119.37999725341797,120.27999877929688,472400
2025-08-19,120.06999969482422,121.69999694824219,120.06999969482422,120.7699966430664,503000
2025-08-20,120.63999938964844,121.91999816894531,119.12999725341797,120.08999633789062,529700
2025-08-21,119.87999725341797,122.04000091552734,119.87999725341797,121.58000183105469,647300
2025-08-22,122.22000122070312,124.6500015258789,121.80999755859375,122.9800033569336,816400
2025-08-25,122.87000274658203,123.86000061035156,122.87000274658203,123.12999725341797,833000
2025-08-26,123.2300033569336,126.1500015258789,122.48999786376953,125.55999755859375,1873500
2025-08-27,125.3499984741211,126.23999786376953,125.11000061035156,125.63999938964844,1097100
2025-08-28,125.97000122070312,126.29000091552734,124.8499984741211,125.73999786376953,835300
2025-08-29,125.97000122070312,125.97000122070312,123.87000274658203,124.88999938964844,938900
2025-09-02,124.0,125.12000274658203,123.0,124.94000244140625,868900
2025-09-03,125.0,125.8499984741211,123.83000183105469,124.08000183105469,945300
2025-09-04,124.43000030517578,126.0,123.66000366210938,125.94000244140625,1009100
2025-09-05,127.0,128.0399932861328,124.95999908447266,126.62000274658203,976300
2025-09-08,126.5999984741211,127.94000244140625,126.06999969482422,126.9000015258789,1005400
2025-09-09,126.5,127.06999969482422,123.88999938964844,124.30000305175781,804500
2025-09-10,124.66999816894531,125.83000183105469,124.0,125.43000030517578,875100
2025-09-11,125.7699966430664,127.81999969482422,125.65499877929688,127.66000366210938,643401
