ticker_yf,ticker_tv,price,last,mcap_usd_final,mcap,avg_dollar_vol,tv_score,tv_reco,analyst_bucket,analyst_votes,sector,industry,p_tech,p_tv,p_an,pillars_met,votes_bin,rank_score,bucket
IEX,IEX,164.49000549316406,164.49000549316406,,,115155916.23039398,0.55,HOLD,HOLD,20.0,Industrials,Unknown,False,False,False,0,10-20,0.265,event
DOC,DOC,18.13999938964844,18.13999938964844,,,113075836.61584663,0.55,HOLD,HOLD,20.0,Real Estate,Unknown,False,False,False,0,10-20,0.265,event
MIDD,MIDD,138.77999877929688,138.77999877929688,,,111109402.84389648,0.55,HOLD,HOLD,20.0,Industrials,Unknown,False,False,False,0,10-20,0.265,event
INVH,INVH,30.6200008392334,30.6200008392334,,,109169254.83827181,0.55,HOLD,HOLD,20.0,Real Estate,Unknown,False,False,False,0,10-20,0.265,event
SUI,SUI,131.27999877929688,131.27999877929688,,,108509106.29782867,0.55,HOLD,HOLD,20.0,Real Estate,Unknown,False,False,False,0,10-20,0.265,event
HRB,HRB,52.130001068115234,52.130001068115234,,,108040750.39576054,0.55,HOLD,HOLD,20.0,Consumer Discretionary,Unknown,False,False,False,0,10-20,0.265,event
MAA,MAA,144.08999633789062,144.08999633789062,,,107639500.79176179,0.55,HOLD,HOLD,20.0,Real Estate,Unknown,False,False,False,0,10-20,0.265,event
MUSA,MUSA,393.5400085449219,393.5400085449219,,,107013632.58712769,0.55,HOLD,HOLD,20.0,Consumer Discretionary,Unknown,False,False,False,0,10-20,0.265,event
PNFP,PNFP,97.8000030517578,97.8000030517578,,,105157842.40469284,0.55,HOLD,HOLD,20.0,Financials,Unknown,False,False,False,0,10-20,0.265,event
VFC,VFC,15.479999542236328,15.479999542236328,,,104762694.43810901,0.55,HOLD,HOLD,20.0,Consumer Discretionary,Unknown,False,False,False,0,10-20,0.265,event
HSIC,HSIC,69.55000305175781,69.55000305175781,,,104585855.10635376,0.55,HOLD,HOLD,20.0,Health Care,Unknown,False,False,False,0,10-20,0.265,event
ESS,ESS,268.8099975585937,268.8099975585937,,,102272618.97443238,0.55,HOLD,HOLD,20.0,Real Estate,Unknown,False,False,False,0,10-20,0.265,event
UNM,UNM,75.26000213623047,75.26000213623047,,,100632609.52576713,0.55,HOLD,HOLD,20.0,Financials,Unknown,False,False,False,0,10-20,0.265,event
EG,EG,348.44000244140625,348.44000244140625,,,99293820.17233276,0.55,HOLD,HOLD,20.0,Financials,Unknown,False,False,False,0,10-20,0.265,event
SOLV,SOLV,73.79000091552734,73.79000091552734,,,99251117.88575593,0.55,HOLD,HOLD,20.0,Health Care,Unknown,False,False,False,0,10-20,0.265,event
LAD,LAD,343.989990234375,343.989990234375,,,98842901.58754273,0.55,HOLD,HOLD,20.0,Consumer Discretionary,Unknown,False,False,False,0,10-20,0.265,event
GLPI,GLPI,48.40999984741211,48.40999984741211,,,97553747.92396279,0.55,HOLD,HOLD,20.0,Real Estate,Unknown,False,False,False,0,10-20,0.265,event
WHR,WHR,94.95999908447266,94.95999908447266,,,95403279.57945366,0.55,HOLD,HOLD,20.0,Consumer Discretionary,Unknown,False,False,False,0,10-20,0.265,event
WLK,WLK,89.58000183105469,89.58000183105469,,,95105744.38972473,0.55,HOLD,HOLD,20.0,Materials,Unknown,False,False,False,0,10-20,0.265,event
PCOR,PCOR,70.5999984741211,70.5999984741211,,,95043309.50650558,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
ARE,ARE,84.73999786376953,84.73999786376953,,,94638083.61492042,0.55,HOLD,HOLD,20.0,Real Estate,Unknown,False,False,False,0,10-20,0.265,event
CE,CE,46.869998931884766,46.869998931884766,,,94582727.54673576,0.55,HOLD,HOLD,20.0,Materials,Unknown,False,False,False,0,10-20,0.265,event
EMN,EMN,67.93000030517578,67.93000030517578,,,93187563.23799285,0.55,HOLD,HOLD,20.0,Materials,Unknown,False,False,False,0,10-20,0.265,event
CPT,CPT,110.76000213623048,110.76000213623048,,,92543279.79992294,0.55,HOLD,HOLD,20.0,Real Estate,Unknown,False,False,False,0,10-20,0.265,event
MTSI,MTSI,131.07000732421875,131.07000732421875,,,92073905.54880218,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
RRC,RRC,35.18000030517578,35.18000030517578,,,91870594.7268425,0.55,HOLD,HOLD,20.0,Energy,Unknown,False,False,False,0,10-20,0.265,event
MASI,MASI,146.2100067138672,146.2100067138672,,,90454005.3853836,0.55,HOLD,HOLD,20.0,Health Care,Unknown,False,False,False,0,10-20,0.265,event
UDR,UDR,38.91999816894531,38.91999816894531,,,88289133.53462449,0.55,HOLD,HOLD,20.0,Real Estate,Unknown,False,False,False,0,10-20,0.265,event
PFG,PFG,82.08000183105469,82.08000183105469,,,87836833.23218918,0.55,HOLD,HOLD,20.0,Financials,Unknown,False,False,False,0,10-20,0.265,event
ELS,ELS,61.52000045776367,61.52000045776367,,,87778598.7779297,0.55,HOLD,HOLD,20.0,Real Estate,Unknown,False,False,False,0,10-20,0.265,event
EXEL,EXEL,39.06999969482422,39.06999969482422,,,87306258.79771805,0.55,HOLD,HOLD,20.0,Health Care,Unknown,False,False,False,0,10-20,0.265,event
NDSN,NDSN,227.97999572753903,227.97999572753903,,,86137192.88935013,0.55,HOLD,HOLD,20.0,Industrials,Unknown,False,False,False,0,10-20,0.265,event
RS,RS,296.8299865722656,296.8299865722656,,,82009932.63309479,0.55,HOLD,HOLD,20.0,Materials,Unknown,False,False,False,0,10-20,0.265,event
CHE,CHE,457.8900146484375,457.8900146484375,,,80405238.04153442,0.55,HOLD,HOLD,20.0,Health Care,Unknown,False,False,False,0,10-20,0.265,event
ALSN,ALSN,90.5,90.5,,,79989013.50323944,0.55,HOLD,HOLD,20.0,Industrials,Unknown,False,False,False,0,10-20,0.265,event
AXTA,AXTA,31.780000686645508,31.780000686645508,,,79613422.86613055,0.55,HOLD,HOLD,20.0,Materials,Unknown,False,False,False,0,10-20,0.265,event
LOAR,LOAR,79.44999694824219,79.44999694824219,,,78878856.73067474,0.55,HOLD,HOLD,20.0,Industrials,Unknown,False,False,False,0,10-20,0.265,event
KIM,KIM,22.459999084472656,22.459999084472656,,,78038620.62910691,0.55,HOLD,HOLD,20.0,Real Estate,Unknown,False,False,False,0,10-20,0.265,event
AOS,AOS,74.30000305175781,74.30000305175781,,,77821364.64698792,0.55,HOLD,HOLD,20.0,Industrials,Unknown,False,False,False,0,10-20,0.265,event
SIRI,SIRI,23.809999465942383,23.809999465942383,,,77578838.69404945,0.55,HOLD,HOLD,20.0,Communication Services,Unknown,False,False,False,0,10-20,0.265,event
KD,KD,32.72999954223633,32.72999954223633,,,75381797.65260716,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
TFX,TFX,132.5,132.5,,,73918444.0078125,0.55,HOLD,HOLD,20.0,Health Care,Unknown,False,False,False,0,10-20,0.265,event
VNO,VNO,42.0099983215332,42.0099983215332,,,73010020.8540678,0.55,HOLD,HOLD,20.0,Real Estate,Unknown,False,False,False,0,10-20,0.265,event
ADC,ADC,73.73999786376953,73.73999786376953,,,69156944.92956276,0.55,HOLD,HOLD,20.0,Real Estate,Unknown,False,False,False,0,10-20,0.265,event
FRT,FRT,101.8000030517578,101.8000030517578,,,68079138.74517822,0.55,HOLD,HOLD,20.0,Real Estate,Unknown,False,False,False,0,10-20,0.265,event
