candidate_type,ticker_tv,ticker_yf,price,market_cap,sector,industry,technical_local,tech_score,tv_reco,analyst_bucket,analyst_mean,analyst_votes,rank_score
event,HPE,HPE,22.96500015258789,30135133235.108887,Information Technology,"Technology Hardware, Storage & Peripherals",Strong Buy,4,,Buy,2.05,17.0,3.85
anticipative,DNLI,DNLI,15.48550033569336,2264165975.0823975,Healthcare,Biotechnology,Buy,2,,Strong Buy,1.15789,16.0,3.8
anticipative,REXR,REXR,41.13999938964844,10073293410.552979,Real Estate,REIT - Industrial,Strong Buy,4,,Buy,2.4375,16.0,3.8
anticipative,CIEN,CIEN,94.30999755859375,13332322179.345703,Information Technology,Communications Equipment,Strong Buy,4,,Buy,2.11765,16.0,3.8
anticipative,TOL,TOL,140.94000244140625,13584220255.310059,Consumer Discretionary,Homebuilding,Strong Buy,6,,Buy,1.82353,16.0,3.8
anticipative,RL,RL,311.32000732421875,18903070656.71997,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Strong Buy,6,,Buy,1.66667,16.0,3.8
anticipative,TER,TER,118.95999908447266,18923442894.363403,Information Technology,Semiconductor Materials & Equipment,Strong Buy,6,,Buy,1.94118,16.0,3.8
event,DNLI,DNLI,15.48550033569336,2264165975.0823975,Healthcare,Biotechnology,Buy,2,,Strong Buy,1.15789,16.0,3.8
event,REXR,REXR,41.13999938964844,10073293410.552979,Real Estate,REIT - Industrial,Strong Buy,4,,Buy,2.4375,16.0,3.8
event,CIEN,CIEN,94.30999755859375,13332322179.345703,Information Technology,Communications Equipment,Strong Buy,4,,Buy,2.11765,16.0,3.8
event,TOL,TOL,140.94000244140625,13584220255.310059,Consumer Discretionary,Homebuilding,Strong Buy,6,,Buy,1.82353,16.0,3.8
event,RL,RL,311.32000732421875,18903070656.71997,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Strong Buy,6,,Buy,1.66667,16.0,3.8
event,TER,TER,118.95999908447266,18923442894.363403,Information Technology,Semiconductor Materials & Equipment,Strong Buy,6,,Buy,1.94118,16.0,3.8
anticipative,SYY,SYY,80.83999633789062,38658656328.73535,Consumer Staples,Food Distributors,Strong Buy,4,,Buy,1.94118,15.0,3.75
anticipative,DHI,DHI,173.28500366210938,51660418431.762695,Consumer Discretionary,Homebuilding,Strong Buy,4,,Buy,2.35,15.0,3.75
event,SYY,SYY,80.83999633789062,38658656328.73535,Consumer Staples,Food Distributors,Strong Buy,4,,Buy,1.94118,15.0,3.75
event,DHI,DHI,173.28500366210938,51660418431.762695,Consumer Discretionary,Homebuilding,Strong Buy,4,,Buy,2.35,15.0,3.75
anticipative,PVH,PVH,86.11000061035156,4139574670.3414917,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Strong Buy,4,,Buy,2.0,14.0,3.7
anticipative,OMF,OMF,61.130001068115234,7266523226.966858,Financials,Credit Services,Strong Buy,4,,Buy,1.8125,14.0,3.7
anticipative,ALK,ALK,63.255001068115234,7293934173.164368,Industrials,Passenger Airlines,Buy,2,BUY,Strong Buy,1.42857,14.0,3.7
anticipative,DINO,DINO,51.7400016784668,9679570840.089233,Energy,Oil & Gas Refining & Marketing,Strong Buy,4,,Buy,2.2,14.0,3.7
anticipative,OHI,OHI,42.494998931884766,12884907946.216797,Real Estate,REIT - Healthcare Facilities,Strong Buy,4,,Buy,2.25,14.0,3.7
event,PVH,PVH,86.11000061035156,4139574670.3414917,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Strong Buy,4,,Buy,2.0,14.0,3.7
event,OMF,OMF,61.130001068115234,7266523226.966858,Financials,Credit Services,Strong Buy,4,,Buy,1.8125,14.0,3.7
event,ALK,ALK,63.255001068115234,7293934173.164368,Industrials,Passenger Airlines,Buy,2,BUY,Strong Buy,1.42857,14.0,3.7
event,DINO,DINO,51.7400016784668,9679570840.089233,Energy,Oil & Gas Refining & Marketing,Strong Buy,4,,Buy,2.2,14.0,3.7
event,OHI,OHI,42.494998931884766,12884907946.216797,Real Estate,REIT - Healthcare Facilities,Strong Buy,4,,Buy,2.25,14.0,3.7
anticipative,ELF,ELF,129.94000244140625,7372133044.512939,Consumer Staples,Personal Care Products,Buy,2,,Strong Buy,1.53333,13.0,3.65
anticipative,DTM,DTM,104.4000015258789,10606309355.018616,Energy,Oil & Gas Midstream,Strong Buy,4,,Buy,2.35714,13.0,3.65
anticipative,TLN,TLN,379.739990234375,17348535375.854492,Utilities,Independent Power Producers & Energy Traders,Buy,2,,Strong Buy,1.38462,13.0,3.65
anticipative,PHM,PHM,134.4250030517578,26521784252.105713,Consumer Discretionary,Homebuilding,Strong Buy,4,,Buy,2.0,13.0,3.65
event,ELF,ELF,129.94000244140625,7372133044.512939,Consumer Staples,Personal Care Products,Buy,2,,Strong Buy,1.53333,13.0,3.65
event,DTM,DTM,104.4000015258789,10606309355.018616,Energy,Oil & Gas Midstream,Strong Buy,4,,Buy,2.35714,13.0,3.65
event,TLN,TLN,379.739990234375,17348535375.854492,Utilities,Independent Power Producers & Energy Traders,Buy,2,,Strong Buy,1.38462,13.0,3.65
event,PHM,PHM,134.4250030517578,26521784252.105713,Consumer Discretionary,Homebuilding,Strong Buy,4,,Buy,2.0,13.0,3.65
anticipative,TNL,TNL,62.21149826049805,4044207752.0195007,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Strong Buy,4,,Buy,1.66667,12.0,3.6
anticipative,UTHR,UTHR,395.8500061035156,17902831131.03943,Health Care,Biotechnology,Strong Buy,4,,Buy,1.85714,12.0,3.6
event,TNL,TNL,62.21149826049805,4044207752.0195007,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Strong Buy,4,,Buy,1.66667,12.0,3.6
event,UTHR,UTHR,395.8500061035156,17902831131.03943,Health Care,Biotechnology,Strong Buy,4,,Buy,1.85714,12.0,3.6
anticipative,TEM,TEM,75.81510162353516,13166845279.052734,Health Care,Health Information Services,Strong Buy,4,,Buy,2.15385,11.0,3.55
anticipative,NLY,NLY,21.274999618530273,13660167335.867432,Financials,REIT - Mortgage,Strong Buy,4,,Buy,2.0,11.0,3.55
event,TEM,TEM,75.81510162353516,13166845279.052734,Health Care,Health Information Services,Strong Buy,4,,Buy,2.15385,11.0,3.55
event,NLY,NLY,21.274999618530273,13660167335.867432,Financials,REIT - Mortgage,Strong Buy,4,,Buy,2.0,11.0,3.55
