date,ticker,score,bucket,themes,price,mcap_usd
2026-05-07,VVX,80.8,70+,defense|laser_photonique,75.4,
2026-05-07,ROK,80.2,70+,robotique,447.17,
2026-05-07,CTS,80.0,70+,gestion_thermique,59.81,
2026-05-07,MOD,79.8,70+,gestion_thermique,269.65,
2026-05-07,ESE,79.1,70+,equipement_electrique,332.69,
2026-05-07,MKSI,78.9,70+,laser_photonique,300.56,
2026-05-07,GSAT,78.6,70+,espace,81.48,
2026-05-07,FIX,78.2,70+,gestion_thermique,1941.26,
2026-05-07,QTUM,78.1,70+,quantique,140.9,
2026-05-07,NVMI,78.0,70+,semiconducteurs,504.54,
2026-05-07,AVGO,77.8,70+,ia|semiconducteurs,411.91,
2026-05-07,ATRO,77.8,70+,defense,62.21,
2026-05-07,PLPC,77.8,70+,equipement_electrique,345.1,
2026-05-07,ADI,77.6,70+,semiconducteurs,407.4,
2026-05-07,SKYT,77.4,70+,semiconducteurs,33.06,
2026-05-07,VRSN,77.1,70+,ia,277.73,
2026-05-07,CW,76.7,70+,defense,724.18,
2026-05-07,GHM,75.7,70+,gestion_thermique,97.08,
2026-05-07,AZZ,74.8,70+,equipement_electrique,144.09,
2026-05-07,SIF,74.4,70+,defense,15.55,
2026-05-07,LSCC,74.3,70+,ia|semiconducteurs,119.92,
2026-05-07,PDFS,74.3,70+,semiconducteurs,47.7,
2026-05-07,ICHR,73.9,70+,semiconducteurs,71.23,
2026-05-07,TSAT,73.7,70+,espace,52.35,
2026-05-07,ASML,73.6,70+,semiconducteurs,1516.6,
2026-05-07,GNRC,72.5,70+,equipement_electrique,266.75,
2026-05-07,ATKR,72.3,70+,equipement_electrique,73.64,
2026-05-07,UCTT,72.0,70+,semiconducteurs,79.9,
2026-05-07,TLN,71.6,70+,production_energie,390.55,
2026-05-07,COHR,71.5,70+,laser_photonique,319.19,
2026-05-07,NXE,71.1,70+,production_energie,12.38,
2026-05-07,MPWR,71.0,70+,semiconducteurs,1573.56,
2026-05-07,DCO,70.4,70+,defense,137.74,
2026-05-07,SLAB,70.1,70+,semiconducteurs,217.64,
2026-05-07,KLAC,69.5,60-70,semiconducteurs,176.1,
2026-05-07,PWR,69.1,60-70,equipement_electrique,750.62,
2026-05-07,FORM,69.0,60-70,semiconducteurs,144.68,
2026-05-07,ALGM,68.0,60-70,semiconducteurs,47.93,
2026-05-07,CRDO,67.9,60-70,ia,188.29,
2026-05-07,CARR,67.8,60-70,gestion_thermique,67.22,
2026-05-07,COHU,67.3,60-70,semiconducteurs,47.48,
2026-05-07,UUUU,66.7,60-70,production_energie,23.35,
2026-05-07,IRDM,66.6,60-70,espace,40.06,
2026-05-07,TXN,66.4,60-70,semiconducteurs,285.24,
2026-05-07,NVT,66.3,60-70,equipement_electrique|gestion_thermique,166.73,
2026-05-07,URG,66.2,60-70,production_energie,1.82,
2026-05-07,UEC,64.9,60-70,production_energie,15.59,
2026-05-07,ON,64.7,60-70,semiconducteurs,100.61,
2026-05-07,SMP,64.6,60-70,gestion_thermique,39.0,
2026-05-07,ECHO,64.5,60-70,espace,122.62,
2026-05-07,POWI,63.9,60-70,equipement_electrique|semiconducteurs,71.65,
2026-05-07,AEHR,63.7,60-70,new_tech|semiconducteurs,91.26,
2026-05-07,DIOD,63.3,60-70,semiconducteurs,112.59,
2026-05-07,MASS,63.3,60-70,robotique,8.08,
2026-05-07,AMKR,63.2,60-70,semiconducteurs,72.19,
2026-05-07,TSEM,62.9,60-70,semiconducteurs,210.0,
2026-05-07,QRVO,62.6,60-70,semiconducteurs,88.97,
2026-05-07,NXPI,61.9,60-70,semiconducteurs,289.24,
2026-05-07,TT,61.3,60-70,gestion_thermique,468.75,
2026-05-07,MRVL,61.1,60-70,ia|semiconducteurs,160.01,
2026-05-07,CRWV,60.5,60-70,ia,128.84,
2026-05-07,VICR,60.4,60-70,equipement_electrique,261.34,
2026-05-07,MRCY,60.0,60-70,defense|espace,88.06,
2026-05-07,ARM,58.9,50-60,semiconducteurs,213.31,
2026-05-07,BWMN,58.6,50-60,gestion_thermique,34.75,
2026-05-07,MCHP,58.6,50-60,semiconducteurs,101.07,
2026-05-07,OMCL,58.4,50-60,robotique,43.33,
2026-05-07,NNDM,58.1,50-60,new_tech|robotique,1.85,
2026-05-07,AYI,57.7,50-60,equipement_electrique,295.42,
2026-05-07,TSLA,57.5,50-60,new_tech,411.79,
2026-05-07,GEV,57.3,50-60,equipement_electrique|production_energie,1045.1,
2026-05-07,LASR,57.3,50-60,laser_photonique|semiconducteurs,66.19,
2026-05-07,LITE,57.2,50-60,laser_photonique,892.58,
2026-05-07,ETN,57.0,50-60,equipement_electrique,398.05,
2026-05-07,SATL,56.5,50-60,espace,6.62,
2026-05-07,GFS,56.3,50-60,semiconducteurs,70.83,
2026-05-07,BRKR,56.2,50-60,robotique,43.69,
2026-05-07,STM,56.2,50-60,semiconducteurs,55.84,
2026-05-07,EMR,55.6,50-60,equipement_electrique,140.52,
2026-05-07,ACLS,55.3,50-60,semiconducteurs,158.66,
2026-05-07,SMTC,55.0,50-60,semiconducteurs,121.5,
2026-05-07,VUZI,54.9,50-60,ia|laser_photonique,2.86,
2026-05-07,CCJ,54.8,50-60,production_energie,118.71,
2026-05-07,NBIS,54.7,50-60,ia,184.77,
2026-05-07,TER,54.7,50-60,robotique,353.98,
2026-05-07,CEG,54.1,50-60,production_energie,310.8,
2026-05-07,AIRJ,53.9,50-60,gestion_thermique,3.48,
2026-05-07,UAVS,53.8,50-60,defense,1.17,
2026-05-07,TSSI,53.7,50-60,gestion_thermique,15.84,
2026-05-07,RMBS,53.6,50-60,semiconducteurs,126.6,
2026-05-07,PL,53.5,50-60,espace,35.24,
2026-05-07,DNN,53.4,50-60,production_energie,3.74,
2026-05-07,BOTT,53.2,50-60,robotique,52.7,
2026-05-07,MYRG,53.2,50-60,equipement_electrique,427.38,
2026-05-07,AMSC,53.1,50-60,equipement_electrique,53.22,
2026-05-07,GOOGL,52.5,50-60,ia,397.75,
2026-05-07,CVV,52.1,50-60,new_tech,6.98,
2026-05-07,POWL,52.0,50-60,equipement_electrique,305.82,
2026-05-07,GD,51.8,50-60,defense,346.24,
2026-05-07,ONTO,51.8,50-60,semiconducteurs,274.17,
2026-05-07,VIAV,51.3,50-60,laser_photonique,51.05,
2026-05-07,AEIS,51.2,50-60,equipement_electrique,351.83,
2026-05-07,LUNR,51.1,50-60,espace,24.11,
2026-05-07,POWW,51.0,50-60,defense,1.99,
2026-05-07,HYLN,50.4,50-60,equipement_electrique,2.47,
2026-05-07,PLUG,50.2,50-60,new_tech|production_energie,3.13,
2026-05-14,DCO,83.3,70+,defense,151.59,
2026-05-14,SKYT,82.2,70+,semiconducteurs,35.82,
2026-05-14,ECHO,82.1,70+,espace,135.11,
2026-05-14,GSAT,81.7,70+,espace,82.08,
2026-05-14,AMAT,80.7,70+,semiconducteurs,440.01,
2026-05-14,ATKR,79.5,70+,equipement_electrique,76.05,
2026-05-14,LASR,79.1,70+,laser_photonique|semiconducteurs,81.33,
2026-05-14,CW,78.7,70+,defense,750.58,
2026-05-14,NVMI,78.7,70+,semiconducteurs,556.11,
2026-05-14,TSM,78.3,70+,semiconducteurs,416.74,
2026-05-14,VRT,77.9,70+,equipement_electrique|gestion_thermique|ia,376.15,
2026-05-14,PLPC,77.9,70+,equipement_electrique,353.89,
2026-05-14,ADI,76.9,70+,semiconducteurs,425.62,
2026-05-14,CTS,76.9,70+,gestion_thermique,61.25,
2026-05-14,KLAC,76.6,70+,semiconducteurs,189.05,
2026-05-14,LSCC,76.0,70+,ia|semiconducteurs,124.85,
2026-05-14,ATRO,75.7,70+,defense,66.01,
2026-05-14,IRDM,75.6,70+,espace,43.29,
2026-05-14,PLAB,75.6,70+,semiconducteurs,52.01,
2026-05-14,PL,75.5,70+,espace,43.04,
2026-05-14,UCTT,75.4,70+,semiconducteurs,86.38,
2026-05-14,GHM,75.3,70+,gestion_thermique,98.8,
2026-05-14,AVGO,74.9,70+,ia|semiconducteurs,439.1,
2026-05-14,VRSN,74.9,70+,ia,292.17,
2026-05-14,AZZ,74.8,70+,equipement_electrique,147.39,
2026-05-14,LRCX,74.8,70+,semiconducteurs,298.94,
2026-05-14,MKSI,74.0,70+,laser_photonique,313.57,
2026-05-14,GOOGL,72.8,70+,ia,400.83,
2026-05-14,MPWR,72.6,70+,semiconducteurs,1611.51,
2026-05-14,PWR,72.4,70+,equipement_electrique,779.96,
2026-05-14,LITE,71.7,70+,laser_photonique,1001.81,
2026-05-14,TT,71.5,70+,gestion_thermique,480.58,
2026-05-14,ASML,70.8,70+,semiconducteurs,1584.51,
2026-05-14,QTUM,70.8,70+,quantique,147.64,
2026-05-14,FIX,70.5,70+,gestion_thermique,2041.56,
2026-05-14,NXPI,70.5,70+,semiconducteurs,293.18,
2026-05-14,ROK,70.0,70+,robotique,455.14,
2026-05-14,CARR,69.3,60-70,gestion_thermique,66.73,
2026-05-14,GEV,69.1,60-70,equipement_electrique|production_energie,1089.97,
2026-05-14,SLAB,69.0,60-70,semiconducteurs,217.31,
2026-05-14,MOD,68.5,60-70,gestion_thermique,292.16,
2026-05-14,GNRC,67.1,60-70,equipement_electrique,276.49,
2026-05-14,NVT,67.0,60-70,equipement_electrique|gestion_thermique,173.96,
2026-05-14,COHU,66.8,60-70,semiconducteurs,48.96,
2026-05-14,NVDA,66.5,60-70,ia|robotique|semiconducteurs,235.47,
2026-05-14,ICHR,66.5,60-70,semiconducteurs,74.51,
2026-05-14,ENS,66.4,60-70,equipement_electrique,239.35,
2026-05-14,SIF,66.3,60-70,defense,18.44,
2026-05-14,CGNX,65.8,60-70,robotique,66.0,
2026-05-14,ARM,65.4,60-70,semiconducteurs,228.5,
2026-05-14,TSAT,65.3,60-70,espace,53.91,
2026-05-14,VICR,64.9,60-70,equipement_electrique,290.54,
