ticker,themes,score,setup,price,rsi,macd_hist,chg_1d,chg_7d,chg_1m,avg_dollar_vol,dist_to_high_pct,base_depth_pct,bbwidth_pctile,vol_dryup,overext,c_trend,c_base,c_vcp,c_volume,c_pivot,c_momentum,c_rs,c_hi52,mcap_usd,catalyst,catalyst_days,catalyst_n,buzz,first_scan_date,first_scan_price,pct_since_first,days_tracked
ONTO,semiconducteurs,52.0,En base (loin du pivot),307.58,49.0,0.206,-12.46,-10.65,10.63,477902134.0,20.4,38.4,80.0,0.0,0.0,1.0,0.645,0.119,0.5,0.0,0.435,0.833,0.32,15256600048.791595,,,0,,2026-01-05,178.18,72.62,182
MKSI,laser_photonique,51.9,En base (loin du pivot),365.56,49.8,-0.786,-11.07,-10.91,10.32,571989202.0,18.3,41.6,94.0,0.0,0.0,1.0,0.464,0.038,0.403,0.0,0.488,0.913,0.389,25238539489.493988,,,0,,2026-01-05,175.89,107.83,182
VSAT,espace,51.5,En base (loin du pivot),83.06,61.6,2.312,0.05,38.43,14.39,245322645.0,10.7,39.1,100.0,0.0,0.33,0.889,0.603,0.0,0.0,0.41,0.953,0.976,0.643,11792046413.495148,,,0,,2026-01-05,38.5,115.74,182
ETN,equipement_electrique,51.4,Setup en formation,398.52,47.1,-0.562,-3.34,-5.08,-4.57,1048226634.0,8.8,15.8,47.0,0.35,0.0,0.767,1.0,0.392,0.246,0.656,0.352,0.365,0.708,160639714739.99023,Reg FD,25.0,1,,2026-02-03,360.41,10.57,153
XYL,gestion_thermique,50.9,Setup en formation,118.12,63.8,0.957,0.72,0.96,7.1,218975252.0,5.1,15.8,57.0,0.56,0.0,0.029,1.0,0.36,0.78,1.0,0.542,0.294,0.245,28153010891.807823,,,0,,2026-01-20,137.81,-14.29,167
AMAT,semiconducteurs,50.8,En base (loin du pivot),603.04,54.0,0.692,-7.35,-9.72,23.06,7832060030.0,18.5,49.1,96.0,0.0,0.0,1.0,0.051,0.024,0.5,0.0,0.5,0.944,0.384,474406654120.6201,,,0,,2026-01-05,283.61,112.63,182
INTC,semiconducteurs,50.8,En base (loin du pivot),120.35,49.1,-1.048,-5.25,-9.42,11.51,16223296173.0,15.5,54.4,60.0,0.41,0.0,1.0,0.0,0.238,0.517,0.0,0.447,0.857,0.485,623550702270.5078,,,0,,2026-01-05,39.37,205.69,182
INDI,semiconducteurs,50.0,En base (loin du pivot),4.33,53.2,0.049,-4.63,17.34,-15.1,26581696.0,21.1,39.7,42.0,0.01,0.0,0.7,0.575,0.564,0.286,0.0,0.964,0.714,0.052,999395039.46001,Direction,14.0,1,,2026-01-27,4.57,-5.25,160
SKYT,semiconducteurs,49.7,En base (loin du pivot),34.24,43.1,-0.322,-1.67,-1.55,-14.21,28101973.0,14.2,24.9,14.0,1.0,0.0,0.734,1.0,0.629,0.652,0.0,0.118,0.548,0.525,1668036082.8802643,Vote actionnaires,20.0,1,,2026-01-27,33.54,2.09,160
SLAB,semiconducteurs,48.8,Squeeze / VCP prêt à casser,218.22,49.9,-0.231,-0.07,0.12,-0.24,129724346.0,1.2,3.5,3.0,0.0,0.0,0.733,0.0,0.581,0.0,1.0,0.542,0.294,0.96,7201745820.25145,,,0,,2026-01-05,137.93,58.21,182
