ticker_tv,ticker_yf,exchange,market_cap,price,sector,industry,technical_local,tech_score,tv_reco,analyst_bucket,analyst_mean,analyst_votes
MSGS,MSGS,NYQ,4682231046.704102,194.9499969482422,Communication Services,Entertainment,Strong Sell,-6,,,,5.0
MANH,MANH,NMS,12589864973.721313,208.2050018310547,Information Technology,Software - Application,Strong Sell,-4,,,,9.0
MAN,MAN,NYQ,1890065697.7615356,40.83000183105469,Industrials,Human Resource & Employment Services,Strong Sell,-5,,,,9.0
CART,CART,NMS,11694012659.210205,44.38999938964844,Consumer Staples,Food Retail,Sell,-2,,Buy,2.06897,25.0
MPC,MPC,NYQ,54130761927.79541,178.0500030517578,Energy,Oil & Gas Refining & Marketing,Buy,2,,,,18.0
MKL,MKL,NYQ,24650270604.003906,1948.3299560546875,Financials,Insurance - Property & Casualty,Neutral,1,,Hold,3.16667,5.0
MKTX,MKTX,NMS,6716890485.635376,179.77000427246094,Financials,Financial Exchanges & Data,Strong Sell,-4,,Buy,2.26667,12.0
MAR,MAR,NMS,71977082800.75195,265.1499938964844,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Neutral,-1,,Buy,2.42308,24.0
MMC,MMC,NYQ,100812416239.7461,205.05999755859375,Financials,Insurance Brokers,Strong Sell,-6,,Hold,2.7,19.0
MLM,MLM,NYQ,36695645201.293945,608.4907836914062,Materials,Construction Materials,Buy,2,,Buy,1.80952,22.0
MRVL,MRVL,NMS,53329504546.66406,61.86000061035156,Information Technology,Semiconductors,Strong Sell,-6,,Buy,1.64286,39.0
MAS,MAS,NYQ,15128643087.249756,72.26000213623047,Industrials,Building Products,Sell,-3,,Hold,2.5,18.0
MASI,MASI,NMS,7488280677.612305,136.6300048828125,Health Care,Health Care Equipment,Strong Sell,-6,,Buy,1.75,7.0
MTZ,MTZ,NYQ,14075609425.292969,178.3800048828125,Industrials,Construction & Engineering,Neutral,-1,,,,17.0
MTDR,MTDR,NYQ,6107675810.966492,49.060001373291016,Energy,Oil & Gas Exploration & Production,Neutral,-1,,Strong Buy,1.38889,17.0
MTCH,MTCH,NMS,9001668983.283997,37.40999984741211,Communication Services,Interactive Media & Services,Buy,2,,,,19.0
MAT,MAT,NMS,5862428901.672363,18.19499969482422,Consumer Discretionary,Leisure Products,Neutral,-1,,,,12.0
MKC,MKC,NYQ,18604406952.15039,69.33999633789062,Consumer Staples,Packaged Foods & Meats,Strong Sell,-4,,Buy,2.33333,14.0
MCK,MCK,NYQ,85709283791.01562,689.0700073242188,Health Care,Health Care Distributors,Neutral,1,,Buy,1.625,14.0
MDU,MDU,NYQ,3327316251.422882,16.155000686645508,Utilities,Multi-Utilities,Strong Sell,-6,,,,4.0
MPW,MPW,NYQ,2641834629.1749268,4.394999980926514,Real Estate,Health Care REITs,Buy,2,,Hold,3.3,7.0
MEDP,MEDP,NMS,13456406397.827148,478.9949951171875,Health Care,Diagnostics & Research,Buy,2,,Hold,3.16667,11.0
MET,MET,NYQ,53494691776.55859,80.44000244140625,Financials,Life & Health Insurance,Buy,2,,Buy,1.875,14.0
MTD,MTD,NYQ,26151255264.648438,1269.5400390625,Health Care,Life Sciences Tools & Services,Neutral,-1,,Buy,2.30769,11.0
MTG,MTG,NYQ,6523434388.954163,27.975000381469727,Financials,Reinsurance,Strong Buy,4,,,,6.0
MGM,MGM,NYQ,10419471453.975586,38.279998779296875,Consumer Discretionary,Casinos & Gaming,Strong Buy,4,,Buy,1.90909,18.0
MCHP,MCHP,NMS,33762381541.137695,62.560001373291016,Information Technology,Semiconductors,Strong Sell,-4,,Buy,1.68,24.0
MU,MU,NMS,131530005142.77832,117.52880096435547,Information Technology,Semiconductors,Neutral,-1,,Strong Buy,1.53846,35.0
MSTR,MSTR,NMS,93125887936.25977,328.42498779296875,Information Technology,Application Software,Strong Sell,-4,,Strong Buy,1.58333,12.0
MAA,MAA,NYQ,16959345596.466064,142.9600067138672,Real Estate,Multi-Family Residential REITs,Neutral,-1,,Buy,2.36,24.0
MIDD,MIDD,NMS,6918907805.065918,136.51499938964844,Industrials,Industrial Machinery & Supplies & Components,Neutral,-1,,Buy,2.11111,7.0
MRP,MRP,NYQ,5717177532.028198,34.439998626708984,Consumer Discretionary,Homebuilding,Buy,3,,,,2.0
MKSI,MKSI,NMS,6648069266.532898,98.98999786376953,Information Technology,Semiconductor Materials & Equipment,Neutral,-1,,,,13.0
MRNA,MRNA,NMS,9308738703.155518,23.924999237060547,Health Care,Biotechnology,Strong Sell,-4,,Hold,2.83333,20.0
MHK,MHK,NYQ,8098222319.473267,130.33920288085938,Consumer Discretionary,Home Furnishings,Buy,2,,Buy,2.11765,16.0
MOH,MOH,NYQ,9698927737.426758,178.94700622558594,Health Care,Managed Health Care,Neutral,-1,,Hold,2.5625,14.0
TAP,TAP,NYQ,9894371462.133911,49.9900016784668,Consumer Staples,Brewers,Sell,-3,,Hold,2.61905,21.0
MDLZ,MDLZ,NMS,79338539529.91016,61.314998626708984,Consumer Staples,Packaged Foods & Meats,Neutral,0,,Buy,1.76923,24.0
MDB,MDB,NGM,25088147280.225586,308.3714904785156,Information Technology,Systems Software,Buy,2,,Buy,1.675,36.0
MPWR,MPWR,NMS,40122138887.40234,815.6099853515625,Information Technology,Semiconductors,Neutral,-1,,,,13.0
MNST,MNST,NMS,61837189054.453125,63.33000183105469,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Strong Buy,4,,Buy,2.16,22.0
MCO,MCO,NYQ,88678683143.74512,494.4200134277344,Financials,Financial Exchanges & Data,Sell,-2,,Buy,2.13043,20.0
MORN,MORN,NMS,10747299634.0271,254.80999755859375,Financials,Financial Data & Stock Exchanges,Strong Sell,-4,,Buy,1.66667,3.0
MOS,MOS,NYQ,10405237157.011963,32.78499984741211,Materials,Fertilizers & Agricultural Chemicals,Neutral,0,,Buy,2.0,19.0
MSI,MSI,NYQ,78911983583.12988,473.6499938964844,Information Technology,Communications Equipment,Strong Buy,4,,Buy,1.84615,8.0
MP,MP,NYQ,11635338059.539795,65.69999694824219,Materials,Diversified Metals & Mining,Neutral,-1,,Buy,1.6,10.0
COOP,COOP,NCM,12115851606.175232,189.3300018310547,Financials,Commercial & Residential Mortgage Finance,Buy,2,,,,6.0
MSA,MSA,NYQ,6694498497.473145,168.77000427246094,Industrials,Office Services & Supplies,Strong Sell,-4,,,,5.0
MSM,MSM,NYQ,5011100226.081848,90.00499725341797,Industrials,Trading Companies & Distributors,Strong Buy,4,,Hold,2.81818,7.0
MSCI,MSCI,NYQ,42537902840.03906,549.83251953125,Financials,Financial Exchanges & Data,Strong Sell,-6,,Buy,1.88889,14.0
MLI,MLI,NYQ,10512720059.60083,94.96499633789062,Industrials,Industrial Machinery & Supplies & Components,Buy,2,,,,2.0
MUSA,MUSA,NYQ,7142625463.952637,370.2300109863281,Consumer Discretionary,Specialty Retail,Strong Sell,-6,,,,7.0
NDAQ,NDAQ,NMS,53477692994.5166,93.19999694824219,Financials,Financial Exchanges & Data,Sell,-2,,,,18.0
NTRA,NTRA,NMS,22737875908.691406,165.6699981689453,Health Care,Diagnostics & Research,Buy,2,,Strong Buy,1.45,20.0
NFG,NFG,NYQ,7775788055.767822,86.05000305175781,Utilities,Gas Utilities,Sell,-2,,Buy,2.16667,4.0
NSA,NSA,NYQ,4741387720.497925,32.22999954223633,Real Estate,REIT - Industrial,Neutral,0,,Sell,3.5,15.0
NCNO,NCNO,NMS,3528303992.6719666,30.46500015258789,Information Technology,Software - Application,Neutral,0,,Buy,2.4375,14.0
NTAP,NTAP,NMS,23131733291.732788,115.87999725341797,Information Technology,"Technology Hardware, Storage & Peripherals",Strong Buy,4,,Hold,2.5,14.0
NBIX,NBIX,NMS,13584890723.951172,136.97000122070312,Health Care,Biotechnology,Strong Buy,4,,,,26.0
NYT,NYT,NYQ,9586783364.949463,58.880001068115234,Communication Services,Publishing,Neutral,-1,,,,8.0
