ticker_tv,ticker_yf,exchange,market_cap,price,sector,industry,technical_local,tech_score,local_label,tv_reco,tv_symbol_used,tv_exchange_used,bc_label,bc_score,final_signal,analyst_bucket,analyst_mean,analyst_votes,inv_d_label,inv_w_label,inv_m_label,inv_d_vote,inv_w_vote,inv_m_vote,rank_score
NET,NET,NYQ,71686231268.30176,205.7100067138672,Information Technology,Software - Infrastructure,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.11765,29.0,,,,,,,5.3999999999999995
USB,USB,NYQ,75537461694.81445,48.540000915527344,Financials,Diversified Banks,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.0,22.0,,,,,,,5.3999999999999995
RBLX,RBLX,NYQ,92520746071.32812,133.4600067138672,Communication Services,Electronic Gaming & Multimedia,Strong Buy,6,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.0,31.0,,,,,,,5.3999999999999995
CVS,CVS,NYQ,92993954039.8164,73.31999969482422,Health Care,Health Care Services,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.65385,24.0,,,,,,,5.3999999999999995
HCA,HCA,NYQ,96162121653.30469,407.6099853515625,Health Care,Health Care Facilities,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.0,21.0,,,,,,,5.3999999999999995
RCL,RCL,NYQ,96427940000.0,355.0,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.76923,23.0,,,,,,,5.3999999999999995
ADI,ADI,NMS,120307598707.72754,244.5500030517578,Information Technology,Semiconductors,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.74286,32.0,,,,,,,5.3999999999999995
APP,APP,NMS,164846131766.91406,487.3500061035156,Information Technology,Application Software,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.76,21.0,,,,,,,5.3999999999999995
FIVE,FIVE,NMS,8325867354.393005,150.97999572753906,Consumer Discretionary,Other Specialty Retail,Strong Buy,6,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.18182,19.0,,,,,,,5.359999999999999
LITE,LITE,NMS,9374987658.691406,134.1199951171875,Information Technology,Communication Equipment,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.63158,19.0,,,,,,,5.359999999999999
AFRM,AFRM,NMS,27781199339.996094,85.30999755859375,Information Technology,Software - Infrastructure,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.78261,19.0,,,,,,,5.359999999999999
FCX,FCX,NYQ,66346929646.15332,46.209999084472656,Materials,Copper,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.1,19.0,,,,,,,5.359999999999999
NEM,NEM,NYQ,82845100608.83789,75.41999816894531,Materials,Gold,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.0,19.0,,,,,,,5.359999999999999
LOPE,LOPE,NMS,5773042899.42627,205.5399932861328,Consumer Discretionary,Education Services,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Strong Buy,1.33333,3.0,,,,,,,5.32
PENN,PENN,NMS,2856078928.894043,19.610000610351562,Consumer Discretionary,Casinos & Gaming,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.15,18.0,,,,,,,5.319999999999999
MGM,MGM,NYQ,10373199481.012207,38.11000061035156,Consumer Discretionary,Casinos & Gaming,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.90909,18.0,,,,,,,5.319999999999999
PSTG,PSTG,NYQ,25456944280.51758,77.88999938964844,Information Technology,Computer Hardware,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.9,18.0,,,,,,,5.319999999999999
HIG,HIG,NYQ,37438050083.862305,133.14999389648438,Financials,Property & Casualty Insurance,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.2,18.0,,,,,,,5.319999999999999
VLO,VLO,NYQ,48269109276.85547,155.3800048828125,Energy,Oil & Gas Refining & Marketing,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.95,18.0,,,,,,,5.319999999999999
THC,THC,NYQ,16513685733.551025,186.91000366210938,Health Care,Health Care Facilities,Strong Buy,6,STRONG_BUY,STRONG_BUY,THC,NYSE,,,STRONG_BUY,,,21.0,,,,,,,5.3
GAP,GAP,NYQ,8381951967.33728,22.59000015258789,Consumer Discretionary,Apparel Retail,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.38889,17.0,,,,,,,5.279999999999999
HST,HST,NMS,11971632346.973755,17.190000534057617,Real Estate,Hotel & Resort REITs,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.88889,17.0,,,,,,,5.279999999999999
ALLY,ALLY,NYQ,12583178208.105469,40.869998931884766,Financials,Credit Services,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.1,17.0,,,,,,,5.279999999999999
HPE,HPE,NYQ,29944860729.782227,22.81999969482422,Information Technology,"Technology Hardware, Storage & Peripherals",Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.05,17.0,,,,,,,5.279999999999999
REXR,REXR,NYQ,10031668678.894043,40.970001220703125,Real Estate,REIT - Industrial,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.4375,16.0,,,,,,,5.239999999999999
FHN,FHN,NYQ,11424330000.0,22.5,Financials,Regional Banks,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.9375,16.0,,,,,,,5.239999999999999
CIEN,CIEN,NYQ,13404419655.418213,94.81999969482422,Information Technology,Communications Equipment,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.11765,16.0,,,,,,,5.239999999999999
RL,RL,NYQ,18981561760.681152,313.3599853515625,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Strong Buy,6,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.66667,16.0,,,,,,,5.239999999999999
A,A,NYQ,35499870346.069336,125.22000122070312,Health Care,Health Care Equipment,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.22222,15.0,,,,,,,5.199999999999999
SYY,SYY,NYQ,38754300917.81616,81.04000091552734,Consumer Staples,Food Distributors,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.94118,15.0,,,,,,,5.199999999999999
DHI,DHI,NYQ,51328008534.11865,172.1699981689453,Consumer Discretionary,Homebuilding,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.35,15.0,,,,,,,5.199999999999999
ORI,ORI,NYQ,10028249351.654053,40.36000061035156,Financials,Property & Casualty Insurance,Strong Buy,6,STRONG_BUY,STRONG_BUY,ORI,NYSE,,,STRONG_BUY,Buy,2.33333,2.0,,,,,,,5.18
PVH,PVH,NYQ,4102077711.024475,85.33000183105469,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.0,14.0,,,,,,,5.16
SNV,SNV,NYQ,7140077569.381714,51.439998626708984,Financials,Regional Banks,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.13333,14.0,,,,,,,5.16
OMF,OMF,NYQ,7373505954.89502,62.029998779296875,Financials,Credit Services,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.8125,14.0,,,,,,,5.16
DINO,DINO,NYQ,9647766700.347412,51.56999969482422,Energy,Oil & Gas Refining & Marketing,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.2,14.0,,,,,,,5.16
OHI,OHI,NYQ,12880359981.521484,42.47999954223633,Real Estate,REIT - Healthcare Facilities,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.25,14.0,,,,,,,5.16
BYD,BYD,NYQ,6866174824.71875,85.33999633789062,Consumer Discretionary,Casinos & Gaming,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.125,13.0,,,,,,,5.119999999999999
DTM,DTM,NYQ,10622563831.970215,104.55999755859375,Energy,Oil & Gas Midstream,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.35714,13.0,,,,,,,5.119999999999999
PHM,PHM,NYQ,26299824002.105713,133.3000030517578,Consumer Discretionary,Homebuilding,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.0,13.0,,,,,,,5.119999999999999
WRB,WRB,NYQ,27415296998.75586,72.27999877929688,Financials,Property & Casualty Insurance,Strong Buy,6,STRONG_BUY,STRONG_BUY,WRB,NYSE,,,STRONG_BUY,Hold,2.5,15.0,,,,,,,5.1
TNL,TNL,NYQ,4059712179.59671,62.45000076293945,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.66667,12.0,,,,,,,5.08
UTHR,UTHR,NMS,17703835687.078857,391.45001220703125,Health Care,Biotechnology,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.85714,12.0,,,,,,,5.08
GLW,GLW,NYQ,59397958877.6875,69.33999633789062,Information Technology,Electronic Components,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.69231,12.0,,,,,,,5.08
GTES,GTES,NYQ,6537481703.826904,25.3799991607666,Industrials,Specialty Industrial Machinery,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.63636,11.0,,,,,,,5.04
IBKR,IBKR,NMS,105965793833.79834,63.95000076293945,Financials,Investment Banking & Brokerage,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.0,9.0,,,,,,,4.96
MSI,MSI,NYQ,78996953250.12207,474.1600036621094,Information Technology,Communications Equipment,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.84615,8.0,,,,,,,4.92
THG,THG,NYQ,6346741810.009766,177.42999267578125,Financials,Property & Casualty Insurance,Strong Buy,6,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.0,7.0,,,,,,,4.88
STWD,STWD,NYQ,7632732388.308716,20.260000228881836,Financials,REIT - Mortgage,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.125,7.0,,,,,,,4.88
RGLD,RGLD,NMS,11909450269.07959,180.91000366210938,Materials,Precious Metals & Minerals,Strong Buy,6,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.71429,7.0,,,,,,,4.88
FLEX,FLEX,NMS,20500768305.98877,53.68000030517578,Information Technology,Electronic Manufacturing Services,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.66667,7.0,,,,,,,4.88
HALO,HALO,NMS,8751396084.30481,74.81999969482422,Health Care,Biotechnology,Strong Buy,6,STRONG_BUY,STRONG_BUY,HALO,NASDAQ,,,STRONG_BUY,,,9.0,,,,,,,4.86
APA,APA,NMS,8114586226.307617,22.68000030517578,Energy,Oil & Gas Exploration & Production,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Hold,2.96552,28.0,,,,,,,4.8
ZION,ZION,NMS,8476569809.692383,57.41999816894531,Financials,Regional Banks,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Hold,2.73913,21.0,,,,,,,4.8
CMA,CMA,NYQ,8995464475.440979,69.98999786376953,Financials,Diversified Banks,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Hold,3.18182,20.0,,,,,,,4.8
KEY,KEY,NYQ,20779053623.77832,18.950000762939453,Financials,Regional Banks,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,,,22.0,,,,,,,4.8
SYF,SYF,NYQ,28086656417.3584,75.48999786376953,Financials,Consumer Finance,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,,,21.0,,,,,,,4.8
EL,EL,NYQ,33084595144.389404,91.93000030517578,Consumer Staples,Personal Care Products,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Hold,2.57692,23.0,,,,,,,4.8
F,F,NYQ,46245972372.70117,11.619999885559082,Consumer Discretionary,Automobile Manufacturers,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Hold,3.04167,22.0,,,,,,,4.8
PNC,PNC,NYQ,80730436640.0,205.0,Financials,Regional Banks,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,,,22.0,,,,,,,4.8
INTC,INTC,NMS,105047519232.0,24.0,Information Technology,Semiconductors,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Hold,3.04545,35.0,,,,,,,4.8
COF,COF,NYQ,141544297010.3506,221.3300018310547,Financials,Consumer Finance,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,,,21.0,,,,,,,4.8
CPB,CPB,NMS,10055924223.846924,33.72999954223633,Consumer Staples,Packaged Foods & Meats,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Hold,3.04762,19.0,,,,,,,4.76
CFG,CFG,NYQ,22287801626.816406,51.66999816894531,Financials,Regional Banks,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,,,19.0,,,,,,,4.76
PSX,PSX,NYQ,52750305226.68457,130.52999877929688,Energy,Oil & Gas Refining & Marketing,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,,,19.0,,,,,,,4.76
DOCS,DOCS,NYQ,12549094530.645996,67.30000305175781,Health Care,Health Information Services,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,,,18.0,,,,,,,4.72
