candidate_type,ticker_tv,ticker_yf,price,market_cap,sector,industry,technical_local,tech_score,local_label,finnhub_label,tv_reco,tv_symbol_used,tv_exchange_used,final_signal,analyst_bucket,analyst_mean,analyst_votes,avg_vol,rank_score
anticipative,EQH,EQH,54.06999969482422,16195911428.588867,Financials,Asset Management,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,10.0,2746787.8,4.2
anticipative,OZK,OZK,52.93000030517578,5962088164.375305,Financials,Regional Banks,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,9.0,761483.7,4.16
anticipative,BLZE,BLZE,8.6899995803833,490661708.30726624,Technology,Software - Infrastructure,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,8.0,627497.9,4.12
anticipative,SLRC,SLRC,16.690000534057617,910516303.1352997,Financial Services,Asset Management,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Hold,2.625,8.0,161559.4,4.12
anticipative,FNB,FNB,16.790000915527344,6030028088.806152,Financials,Regional Banks,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,8.0,9205802.2,4.12
anticipative,GOSS,GOSS,2.509999990463257,570726287.7515259,Healthcare,Biotechnology,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,7.0,4151153.7,4.08
anticipative,NMIH,NMIH,40.099998474121094,3110721131.2313232,Financial Services,Insurance - Specialty,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,7.0,311845.1,4.08
anticipative,OPEN,OPEN,5.960000038146973,4386285772.7144165,Real Estate,Real Estate Services,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,7.0,412310539.7,4.08
anticipative,MSM,MSM,92.66000366210938,5158919831.890869,Industrials,Trading Companies & Distributors,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Hold,2.81818,7.0,436549.1,4.08
anticipative,AM,AM,18.09000015258789,8654455207.719727,Energy,Oil & Gas Midstream,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Hold,3.375,7.0,2169937.3,4.08
anticipative,RPRX,RPRX,36.900001525878906,21303810276.149414,Health Care,Biotechnology,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,7.0,3366850.1,4.08
anticipative,OPRX,OPRX,18.610000610351562,345494661.33117676,Healthcare,Health Information Services,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,6.0,367630.4,4.04
anticipative,PINC,PINC,26.280000686645508,2169403544.682312,Healthcare,Health Information Services,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Hold,3.14286,6.0,1382694.6,4.04
anticipative,FRME,FRME,41.880001068115234,2417828785.664749,Financial Services,Banks - Regional,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,6.0,211016.5,4.04
anticipative,SBCF,SBCF,31.649999618530273,2780601348.08609,Financial Services,Banks - Regional,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,6.0,584331.6,4.04
anticipative,EXTR,EXTR,22.450000762939453,2968114600.868225,Technology,Communication Equipment,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,6.0,1513775.8,4.04
anticipative,MTG,MTG,28.440000534057617,6556074470.632568,Financials,Reinsurance,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,6.0,1400806.0,4.04
anticipative,CATY,CATY,50.375,3480580025.0,Financial Services,Banks - Regional,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Hold,2.8,5.0,301088.8,4.0
anticipative,DCI,DCI,80.62000274658203,9393842720.031738,Industrials,Industrial Machinery & Supplies & Components,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Hold,3.125,5.0,916138.0,4.0
anticipative,AFG,AFG,139.67999267578125,11648542590.480469,Financials,Multi-line Insurance,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Hold,2.66667,5.0,406739.4,4.0
anticipative,MCFT,MCFT,22.610000610351562,368687713.9526367,Consumer Cyclical,Recreational Vehicles,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Hold,2.8,4.0,266656.7,3.96
anticipative,KE,KE,29.760000228881836,720742565.5431747,Industrials,Electrical Equipment & Parts,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,4.0,244007.5,3.96
anticipative,SFIX,SFIX,5.610000133514404,732032087.4218941,Consumer Cyclical,Apparel Retail,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,4.0,2516234.9,3.96
anticipative,HCSG,HCSG,15.75,1140500088.0,Healthcare,Medical Care Facilities,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,4.0,597097.4,3.96
anticipative,CRCT,CRCT,5.860000133514404,1245050788.3672714,Technology,Computer Hardware,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,4.0,674961.9,3.96
anticipative,BBSI,BBSI,49.16999816894531,1268359770.767212,Industrials,Staffing & Employment Services,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,4.0,189008.1,3.96
anticipative,INVA,INVA,20.920000076293945,1318399324.8081207,Healthcare,Biotechnology,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,4.0,636755.1,3.96
anticipative,PAHC,PAHC,39.06999969482422,1583647739.630127,Healthcare,Drug Manufacturers - Specialty & Generic,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Hold,3.0,4.0,480709.8,3.96
anticipative,TASK,TASK,17.989999771118164,1606859583.556366,Technology,Information Technology Services,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,4.0,457395.5,3.96
anticipative,WAFD,WAFD,31.950000762939453,2517407527.3135986,Financial Services,Banks - Regional,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,4.0,335414.5,3.96
anticipative,FTDR,FTDR,63.290000915527344,4610638592.695618,Consumer Cyclical,Personal Services,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,4.0,618420.1,3.96
anticipative,IDCC,IDCC,287.8800048828125,7427995037.988281,Technology,Software - Application,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,4.0,304912.8,3.96
anticipative,ETON,ETON,17.8700008392334,479228747.50614166,Healthcare,Drug Manufacturers - Specialty & Generic,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,3.0,211469.3,3.92
anticipative,HONE,HONE,13.0,561061800.0,Financial Services,Banks - Regional,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,3.0,220870.5,3.92
anticipative,ATRO,ATRO,39.060001373291016,1389129888.8397217,Industrials,Aerospace & Defense,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,3.0,692944.3,3.92
anticipative,AL,AL,63.63999938964844,7112724531.784058,Industrials,Rental & Leasing Services,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Hold,2.66667,3.0,2756563.1,3.92
anticipative,DAKT,DAKT,17.440000534057617,864710106.4796448,Technology,Electronic Components,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,2.0,260499.6,3.88
anticipative,MLI,MLI,97.37000274658203,10778956674.049377,Industrials,Industrial Machinery & Supplies & Components,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,2.0,665746.5,3.88
anticipative,UI,UI,565.1300048828125,34189630626.40381,Information Technology,Communication Equipment,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Hold,3.0,2.0,299777.3,3.88
anticipative,CFFN,CFFN,6.550000190734863,853334024.848938,Financial Services,Banks - Regional,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,1.0,600126.6,3.84
anticipative,CSQ,CSQ,18.719999313354492,3002126289.88266,Financial Services,Asset Management,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,162765.2,3.8
anticipative,IBOC,IBOC,72.41500091552734,4501055762.905884,Financial Services,Banks - Regional,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,216252.6,3.8
anticipative,L,L,97.52999877929688,20230257526.794434,Financials,Multi-line Insurance,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,759058.7,3.8
anticipative,GALT,GALT,4.670000076293945,,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,200422.7,3.8
