ticker_tv,ticker_yf,exchange,market_cap,price,sector,industry,technical_local,tech_score,tv_reco,analyst_bucket,analyst_mean,analyst_votes,rank_score
XEL,XEL,NMS,42609283934.34668,72.04499816894531,Utilities,Multi-Utilities,Neutral,-1,,Buy,1.73333,14.0,1.7000000000000002
MSCI,MSCI,NYQ,42644473591.918945,551.2100219726562,Financials,Financial Exchanges & Data,Strong Sell,-6,,Buy,1.88889,14.0,1.7000000000000002
COR,COR,NYQ,56925487076.66016,293.614990234375,Health Care,Health Care Distributors,Neutral,1,,Buy,1.6875,14.0,1.7000000000000002
MCK,MCK,NYQ,85402673890.625,686.60498046875,Health Care,Health Care Distributors,Neutral,1,,Buy,1.625,14.0,1.7000000000000002
PK,PK,NYQ,2383974488.1305695,11.925000190734863,Real Estate,Hotel & Resort REITs,Buy,2,,Hold,2.6,13.0,1.65
SNDR,SNDR,NYQ,4248606666.6870117,24.31999969482422,Industrials,Trucking,Strong Sell,-5,,Buy,2.35714,13.0,1.65
PB,PB,NYQ,6496127091.073608,68.37999725341797,Financials,Regional Banks,Neutral,-1,,Buy,2.0,13.0,1.65
BYD,BYD,NYQ,6879220156.035278,84.80500030517578,Consumer Discretionary,Casinos & Gaming,Neutral,1,,Buy,2.125,13.0,1.65
PNW,PNW,NYQ,10552569792.892456,88.36000061035156,Utilities,Multi-Utilities,Sell,-2,,Buy,2.26667,13.0,1.65
IEX,IEX,NYQ,12166427493.117188,161.60000610351562,Industrials,Industrial Machinery & Supplies & Components,Strong Sell,-4,,Buy,2.0,13.0,1.65
UNM,UNM,NYQ,12308519360.110596,72.2699966430664,Financials,Life & Health Insurance,Neutral,1,,Buy,1.84615,13.0,1.65
SFM,SFM,NMS,13348421300.115967,136.58999633789062,Consumer Staples,Food Retail,Strong Sell,-4,,Buy,2.0,13.0,1.65
BALL,BALL,NYQ,13631943050.80664,50.09000015258789,Materials,"Metal, Glass & Plastic Containers",Strong Sell,-4,,Buy,2.21429,13.0,1.65
EWBC,EWBC,NMS,14564645591.125488,105.27999877929688,Financials,Regional Banks,Buy,2,,,,13.0,1.65
J,J,NYQ,17261423693.29834,143.73500061035156,Industrials,Construction & Engineering,Neutral,-1,,Buy,1.9375,13.0,1.65
NTNX,NTNX,NMS,18162216208.0,67.75,Information Technology,Software - Infrastructure,Sell,-2,,Buy,1.625,13.0,1.65
CMS,CMS,NYQ,21315645645.630615,71.20999908447266,Utilities,Multi-Utilities,Neutral,0,,Buy,2.25,13.0,1.65
PPL,PPL,NYQ,26721600096.00586,36.04499816894531,Utilities,Electric Utilities,Neutral,-1,,Buy,1.92857,13.0,1.65
AEE,AEE,NYQ,26892272083.57422,99.44999694824219,Utilities,Multi-Utilities,Sell,-2,,Buy,1.92857,13.0,1.65
NUE,NUE,NYQ,33127639329.114746,144.3249969482422,Materials,Steel,Neutral,-1,,Buy,1.73333,13.0,1.65
CAH,CAH,NYQ,35905962924.66406,149.6300048828125,Health Care,Health Care Distributors,Sell,-2,,Buy,1.6875,13.0,1.65
BK,BK,NYQ,73422643439.08496,104.11000061035156,Financials,Asset Management & Custody Banks,Buy,2,,,,13.0,1.65
DUK,DUK,NYQ,94248026426.87988,121.19999694824219,Utilities,Electric Utilities,Neutral,-1,,Buy,2.16667,13.0,1.65
CUZ,CUZ,NYQ,4890276099.654785,29.110000610351562,Real Estate,Office REITs,Neutral,0,,Buy,1.83333,12.0,1.6
