ticker,themes,score,setup,price,rsi,macd_hist,chg_1d,chg_7d,chg_1m,avg_dollar_vol,dist_to_high_pct,base_depth_pct,bbwidth_pctile,vol_dryup,overext,c_trend,c_base,c_vcp,c_volume,c_pivot,c_momentum,c_rs,c_hi52,mcap_usd,catalyst,catalyst_days,catalyst_n,buzz,first_scan_date,first_scan_price,pct_since_first,days_tracked
LASR,laser_photonique|semiconducteurs,50.3,En base (loin du pivot),72.44,54.4,0.918,-3.71,6.81,11.1,92319225.0,16.5,34.5,30.0,0.06,0.0,0.771,0.86,0.428,0.028,0.0,0.822,0.667,0.444,3991480369.342003,,,0,,2026-01-05,38.09,90.18,199
GHM,gestion_thermique,50.2,En base (loin du pivot),105.38,46.3,-1.042,-2.62,-4.37,-2.34,31948455.0,16.2,30.1,71.0,0.11,0.0,0.737,1.0,0.376,0.056,0.0,0.585,0.794,0.458,1234867955.8567886,,,0,,2026-01-05,70.0,50.54,199
CW,defense,50.1,Setup en formation,732.48,46.6,-4.891,1.44,-2.55,-6.55,192233437.0,9.4,15.2,67.0,0.5,0.0,0.7,1.0,0.249,0.253,0.579,0.616,0.214,0.688,27657480165.34839,,,0,,2026-01-05,586.09,24.98,199
ISSC,defense,50.1,Setup en formation,19.03,58.1,0.101,-0.99,3.82,15.61,7217074.0,14.0,31.9,2.0,0.59,0.0,0.307,1.0,0.99,0.795,0.004,0.822,0.357,0.0,343182892.92043304,Contrat,2.0,1,,2026-01-12,19.77,-3.74,192
FCEL,new_tech|production_energie,49.7,En base (loin du pivot),22.47,51.1,-0.523,3.84,10.96,-7.87,370662830.0,40.7,65.4,70.0,0.0,0.0,0.7,0.0,0.483,0.5,0.0,0.904,0.865,0.0,1896729418.871132,Événement,2.0,3,,2026-01-20,8.64,160.07,184
POWW,defense,49.7,En base (loin du pivot),2.23,46.7,-0.03,0.0,-5.91,0.9,2387343.0,14.2,26.5,56.0,0.0,0.0,0.844,1.0,0.327,0.5,0.0,0.293,0.563,0.526,245104960.1539645,8-K,24.0,1,,2026-02-25,2.15,3.72,148
ADI,semiconducteurs,49.2,Setup en formation,386.73,47.4,-0.435,1.02,-1.08,-13.19,1798254353.0,13.3,17.8,9.0,0.33,0.0,0.3,1.0,0.883,0.19,0.091,0.668,0.524,0.558,183485693913.88672,Contrat,21.0,1,,2026-01-05,275.67,40.29,199
SMTC,semiconducteurs,48.9,En base (loin du pivot),136.93,47.9,-0.476,-0.66,1.26,-21.63,513567589.0,22.8,35.5,64.0,0.33,0.0,0.7,0.807,0.552,0.163,0.0,0.754,0.706,0.24,12628504528.019531,Contrat,17.0,1,,2026-01-05,74.34,84.19,199
NXPI,semiconducteurs,48.7,Setup en formation,278.8,47.5,-0.567,2.07,-0.08,-13.46,1088605208.0,17.7,23.7,16.0,0.5,0.0,0.3,1.0,0.804,0.249,0.0,0.683,0.611,0.41,68838765324.7167,,,0,,2026-01-05,221.97,25.6,199
UMAC,defense,48.6,Setup en formation,19.67,49.0,-0.065,0.72,6.21,-12.85,81884140.0,42.8,62.0,22.0,1.0,0.0,0.3,0.0,0.867,0.78,0.0,0.84,0.722,0.0,978336830.6894855,Contrat,28.0,1,,2026-01-27,16.29,20.75,177
MU,semiconducteurs,48.5,En base (loin du pivot),959.48,50.2,-12.97,-1.17,6.1,-20.78,50814774681.0,23.5,48.0,52.0,0.4,0.0,0.756,0.109,0.563,0.2,0.0,0.916,0.794,0.215,1118291197024.5176,Résultats,29.0,1,,2026-01-05,312.02,207.51,199
FIX,gestion_thermique,48.3,Setup en formation,1791.06,49.7,0.077,0.99,3.13,-13.33,926253319.0,13.6,24.9,56.0,0.02,0.0,0.3,1.0,0.444,0.009,0.049,0.866,0.627,0.546,64466880085.54028,,,0,,2026-01-05,1031.37,73.66,199
LITE,laser_photonique,48.2,Setup en formation,829.7,52.4,10.269,-0.94,10.33,-7.19,3534213510.0,23.6,40.1,38.0,0.87,0.0,0.3,0.553,0.673,0.646,0.0,0.895,0.452,0.214,64870807189.94141,,,0,,2026-01-05,357.05,132.38,199
TLN,production_energie,48.2,En base (loin du pivot),377.41,49.0,-2.381,3.08,-5.68,-13.86,313742117.0,16.1,31.2,17.0,0.27,0.0,0.718,1.0,0.707,0.293,0.0,0.472,0.508,0.454,17871746661.18988,Reg FD,9.0,1,,2026-01-05,395.2,-4.5,199
QRVO,semiconducteurs,47.7,Setup en formation,89.48,49.9,0.523,0.62,7.24,-12.26,102038070.0,18.3,25.7,75.0,0.53,0.0,0.3,1.0,0.552,0.263,0.0,0.964,0.413,0.391,7673202371.041985,,,0,,2026-01-05,87.06,2.78,199
SMP,gestion_thermique,47.2,Setup en formation,38.8,53.0,0.082,1.25,1.94,-0.26,5754296.0,8.7,17.1,34.0,0.0,0.0,0.3,1.0,0.72,0.0,0.662,0.814,0.246,0.524,848453576.2784271,,,0,,2026-01-12,38.1,1.84,192
ITRI,equipement_electrique,47.1,Setup en formation,83.21,47.4,-0.115,-1.11,-0.93,1.77,51018061.0,6.1,12.3,5.0,0.78,0.0,0.001,1.0,0.774,0.889,0.982,0.335,0.254,0.0,3625185105.439064,,,0,,2026-02-10,105.57,-21.18,163
NKLR,production_energie,46.6,Setup en formation,5.34,55.8,0.108,-3.09,10.1,8.98,1378577.0,22.9,38.7,10.0,0.83,0.0,0.3,0.629,0.756,0.552,0.0,0.889,0.548,0.0,592284881.6334629,Direction,21.0,1,,2026-07-03,4.62,15.58,20
ATKR,equipement_electrique,46.5,Setup en formation,72.96,46.1,0.325,-2.12,-1.18,-10.97,23315821.0,19.1,25.1,40.0,1.0,0.0,0.3,1.0,0.705,0.5,0.0,0.582,0.444,0.364,2477673142.75,,,0,,2026-01-05,65.77,10.93,199
AIRJ,gestion_thermique,46.4,En base (loin du pivot),4.6,54.6,-0.054,22.02,15.29,-5.74,6567341.0,23.3,43.7,87.0,0.31,0.0,0.7,0.352,0.45,0.155,0.0,0.904,0.849,0.0,321458614.8627949,,,0,,2026-05-07,3.48,32.18,77
NBIS,ia,46.1,En base (loin du pivot),218.16,50.6,-1.416,0.57,9.35,-23.08,3880497429.0,27.2,45.2,80.0,0.31,0.0,0.7,0.266,0.394,0.157,0.0,0.94,0.786,0.092,56116579922.65012,,,0,,2026-01-20,99.29,119.72,184
MRCY,defense|espace,46.1,En base (loin du pivot),98.92,42.4,-2.018,0.28,-3.93,-11.49,83925943.0,23.0,31.5,90.0,0.0,0.0,0.7,1.0,0.244,0.459,0.0,0.394,0.635,0.234,6311449564.278709,,,0,,2026-01-05,81.29,21.69,199
MPWR,semiconducteurs,46.0,Setup en formation,1398.45,50.8,12.602,1.1,3.39,-8.93,1460719217.0,18.3,28.1,19.0,0.0,0.0,0.3,1.0,0.758,0.0,0.0,0.857,0.563,0.39,67715362877.43799,,,0,,2026-01-05,951.67,46.95,199
SHLS,equipement_electrique,45.7,En base (loin du pivot),10.43,51.8,0.015,0.48,-9.3,-4.66,61445180.0,20.9,36.3,40.0,0.12,0.0,0.812,0.763,0.59,0.058,0.0,0.522,0.722,0.305,1652552461.4498692,,,0,,2026-01-05,8.89,17.32,199
PDFS,semiconducteurs,45.6,En base (loin du pivot),53.42,46.8,-0.795,-2.02,-0.02,-17.75,41982898.0,25.5,42.8,91.0,0.69,0.0,0.7,0.403,0.217,0.344,0.0,0.674,0.786,0.151,2178796187.1310425,,,0,,2026-01-05,30.97,72.49,199
COHU,semiconducteurs,45.5,En base (loin du pivot),55.01,47.9,-0.69,-2.15,-0.02,-21.49,75820638.0,26.3,44.3,90.0,0.68,0.0,0.7,0.317,0.09,0.342,0.0,0.749,0.81,0.125,2541335892.501293,,,0,,2026-01-05,25.1,119.16,199
MRVL,ia|semiconducteurs,45.3,En base (loin du pivot),210.99,43.5,-5.392,1.46,2.29,-31.45,7050458963.0,36.0,52.1,75.0,1.0,0.0,0.7,0.0,0.548,0.712,0.0,0.526,0.762,0.0,186231497258.6288,Événement,14.0,2,,2026-01-05,90.12,134.12,199
KLIC,semiconducteurs,45.2,En base (loin du pivot),105.6,46.3,-1.721,-2.71,-1.69,-14.99,140646637.0,22.2,32.1,90.0,0.0,0.0,0.7,0.997,0.081,0.0,0.0,0.65,0.786,0.259,5513268512.096367,,,0,,2026-01-05,51.08,106.73,199
META,ia,44.6,Setup en formation,627.17,51.5,1.402,-2.58,-7.95,11.23,12104737797.0,8.6,21.3,90.0,0.1,0.0,0.166,1.0,0.057,0.549,0.677,0.5,0.341,0.301,1517824836591.0825,,,0,,2026-01-27,671.77,-6.64,177
MYRG,equipement_electrique,44.6,En base (loin du pivot),409.07,43.7,-4.274,2.24,-1.42,-15.32,129703598.0,18.8,25.5,87.0,0.37,0.0,0.7,1.0,0.347,0.185,0.0,0.474,0.587,0.374,6274660395.927612,,,0,,2026-01-05,232.56,75.9,199
MKSI,laser_photonique,44.1,En base (loin du pivot),344.84,47.3,-5.8,-0.17,-2.53,-18.0,555317770.0,23.0,37.3,79.0,0.0,0.0,0.715,0.705,0.15,0.0,0.0,0.686,0.81,0.235,22906240797.57532,,,0,,2026-01-05,175.89,96.05,199
INTC,semiconducteurs,43.8,En base (loin du pivot),102.62,43.5,-1.886,-2.68,-0.36,-27.19,12114376280.0,27.9,37.1,71.0,0.85,0.0,0.7,0.719,0.51,0.424,0.0,0.499,0.611,0.07,507274181533.8135,,,0,,2026-01-05,39.37,160.66,199
LII,gestion_thermique,43.7,Setup en formation,532.78,46.3,-4.638,0.55,-2.9,-0.37,249919191.0,9.3,19.3,7.0,0.14,0.0,0.763,1.0,0.816,0.072,0.59,0.268,0.405,0.27,18527850028.310547,,,0,,2026-01-12,530.42,0.44,192
TER,robotique,42.8,Setup en formation,369.46,49.4,-1.845,-1.22,7.99,-19.16,1702047085.0,24.3,39.2,98.0,0.41,0.0,0.3,0.602,0.144,0.275,0.0,0.889,0.643,0.191,57937817284.72192,,,0,,2026-01-05,219.33,68.45,199
ONTO,semiconducteurs,42.7,En base (loin du pivot),295.25,48.0,-4.165,-1.27,-3.11,-15.13,440366552.0,23.6,38.4,69.0,0.07,0.0,0.718,0.645,0.196,0.033,0.0,0.712,0.714,0.213,14456973120.09851,,,0,,2026-01-05,178.18,65.7,199
AEHR,memoire|new_tech|semiconducteurs,42.6,Setup en formation,93.54,53.8,2.386,-5.43,6.55,-17.46,258805001.0,26.1,50.0,67.0,0.0,0.0,0.3,0.0,0.347,0.5,0.0,0.88,0.683,0.129,2933918459.472656,Résultats,9.0,1,,2026-01-05,23.49,298.21,199
AOSL,equipement_electrique|gestion_thermique|semiconducteurs,42.3,Setup en formation,34.75,44.0,-0.352,-0.69,-1.7,-29.6,26090753.0,36.1,47.0,84.0,1.0,0.0,0.3,0.166,0.495,1.0,0.0,0.53,0.524,0.0,1001686154.4000092,Direction,13.0,1,,2026-02-03,22.27,56.04,170
VRT,equipement_electrique|gestion_thermique|ia,42.3,Setup en formation,301.16,47.0,-1.224,-1.1,-1.12,-15.87,1811790342.0,20.7,28.1,13.0,0.34,0.0,0.3,1.0,0.766,0.191,0.0,0.644,0.452,0.309,116446430065.2085,,,0,,2026-01-05,173.87,73.21,199
MCHP,semiconducteurs,42.3,Setup en formation,85.02,46.4,-0.265,1.97,-1.44,-17.22,1018285987.0,18.3,25.0,42.0,0.33,0.0,0.3,1.0,0.623,0.164,0.0,0.623,0.5,0.356,43815346701.00403,,,0,,2026-01-05,66.33,28.18,199
CRDO,ia,41.5,En base (loin du pivot),228.27,47.8,-5.048,1.97,0.67,-24.54,2032841066.0,26.0,51.7,51.0,0.23,0.0,0.7,0.0,0.524,0.116,0.0,0.728,0.802,0.132,43295506537.23538,,,0,,2026-04-30,174.01,31.18,84
MOD,gestion_thermique,41.2,Setup en formation,249.64,50.4,1.388,1.03,7.62,-15.54,426297300.0,22.8,34.7,56.0,0.0,0.0,0.3,0.849,0.65,0.0,0.0,0.906,0.484,0.241,13198196351.978348,,,0,,2026-02-25,230.19,8.45,148
ARM,semiconducteurs,41.0,En base (loin du pivot),283.4,43.3,-4.991,-2.18,2.31,-30.49,2009891820.0,37.4,55.6,56.0,1.0,0.0,0.7,0.0,0.662,0.5,0.0,0.486,0.714,0.0,294455625575.3744,,,0,,2026-04-01,155.07,82.76,113
SPXC,equipement_electrique|gestion_thermique,40.9,Setup en formation,219.05,47.3,-1.033,0.94,0.67,-11.1,223464386.0,12.8,23.8,63.0,0.0,0.0,0.3,1.0,0.587,0.0,0.155,0.708,0.27,0.575,10996992149.430696,,,0,,2026-01-05,205.44,6.62,199
SLAB,semiconducteurs,40.8,Squeeze / VCP prêt à casser,217.17,41.9,-0.184,-0.11,-0.47,-1.19,104770524.0,1.7,2.7,2.0,0.09,0.0,0.715,0.0,0.99,0.044,1.0,0.029,0.167,0.944,7163816925.106522,,,0,,2026-01-05,137.93,57.45,199
DIOD,semiconducteurs,40.6,Setup en formation,95.01,46.7,-0.365,1.34,-1.97,-22.61,62156210.0,24.6,34.9,69.0,0.5,0.0,0.3,0.838,0.493,0.252,0.0,0.672,0.532,0.18,4197051380.7939,Reg FD,8.0,2,,2026-01-05,52.03,82.61,199
AMAT,semiconducteurs,40.3,En base (loin du pivot),553.92,48.0,-11.564,-1.88,-4.4,-13.47,6928022754.0,25.1,46.3,87.0,0.0,0.0,0.837,0.203,0.112,0.0,0.0,0.708,0.802,0.163,448229786514.6124,,,0,,2026-01-05,283.61,95.31,199
