ticker,sector,industry
HUM,Health Care,Unknown
HWM,Industrials,Unknown
IBM,Information Technology,Unknown
ICE,Financials,Unknown
IDXX,Health Care,Unknown
IEX,Industrials,Unknown
IFF,Materials,Unknown
INCY,Health Care,Unknown
INTC,Information Technology,Unknown
INTU,Information Technology,Unknown
INVH,Real Estate,Unknown
IP,Materials,Unknown
IPG,Communication Services,Unknown
IQV,Health Care,Unknown
IR,Industrials,Unknown
IRM,Real Estate,Unknown
ISRG,Health Care,Unknown
IT,Information Technology,Unknown
ITW,Industrials,Unknown
IVZ,Financials,Unknown
J,Industrials,Unknown
JBHT,Industrials,Unknown
JBL,Information Technology,Unknown
JCI,Industrials,Unknown
JKHY,Financials,Unknown
JNJ,Health Care,Unknown
JPM,Financials,Unknown
K,Consumer Staples,Unknown
KDP,Consumer Staples,Unknown
KEY,Financials,Unknown
KEYS,Information Technology,Unknown
KHC,Consumer Staples,Unknown
KIM,Real Estate,Unknown
KKR,Financials,Unknown
KLAC,Information Technology,Unknown
KMB,Consumer Staples,Unknown
KMI,Energy,Unknown
KMX,Consumer Discretionary,Unknown
KO,Consumer Staples,Unknown
KR,Consumer Staples,Unknown
KVUE,Consumer Staples,Unknown
L,Financials,Unknown
LDOS,Industrials,Unknown
LEN,Consumer Discretionary,Unknown
LH,Health Care,Unknown
LHX,Industrials,Unknown
LII,Industrials,Unknown
LIN,Materials,Unknown
LKQ,Consumer Discretionary,Unknown
LLY,Health Care,Unknown
LMT,Industrials,Unknown
LNT,Utilities,Unknown
LOW,Consumer Discretionary,Unknown
LRCX,Information Technology,Unknown
LULU,Consumer Discretionary,Unknown
LUV,Industrials,Unknown
LVS,Consumer Discretionary,Unknown
LW,Consumer Staples,Unknown
LYB,Materials,Unknown
LYV,Communication Services,Unknown
MA,Financials,Unknown
MAA,Real Estate,Unknown
MAR,Consumer Discretionary,Unknown
MAS,Industrials,Unknown
MCD,Consumer Discretionary,Unknown
MCHP,Information Technology,Unknown
MCK,Health Care,Unknown
MCO,Financials,Unknown
MDLZ,Consumer Staples,Unknown
MDT,Health Care,Unknown
MET,Financials,Unknown
META,Communication Services,Unknown
MGM,Consumer Discretionary,Unknown
MHK,Consumer Discretionary,Unknown
MKC,Consumer Staples,Unknown
MKTX,Financials,Unknown
MLM,Materials,Unknown
MMC,Financials,Unknown
MMM,Industrials,Unknown
MNST,Consumer Staples,Unknown
MO,Consumer Staples,Unknown
MOH,Health Care,Unknown
MOS,Materials,Unknown
MPC,Energy,Unknown
MPWR,Information Technology,Unknown
MRK,Health Care,Unknown
MRNA,Health Care,Unknown
MS,Financials,Unknown
MSCI,Financials,Unknown
MSFT,Information Technology,Unknown
MSI,Information Technology,Unknown
MTB,Financials,Unknown
MTCH,Communication Services,Unknown
MTD,Health Care,Unknown
MU,Information Technology,Unknown
NCLH,Consumer Discretionary,Unknown
NDAQ,Financials,Unknown
